gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-26-12-37-17-800,0.04777607334678935,-6.6936411047154145,-0.005503523034160462,0.0236,-2.4728,0.0051,-0.002659333275415334,-0.040892990250093804,3.1250457102886107
2022-12-26-12-37-17-850,0.04914821817563042,-6.817471241296488,-0.005303654419733128,0.0238,-2.4809,0.0008,-0.0025971850678115443,-0.040321277040527986,3.1250258219650786
2022-12-26-12-37-17-900,0.050368493215301235,-6.941740899098982,-0.005103788788018981,0.024,-2.4919,0.0093,-0.0025102678106885667,-0.03993724816114122,3.1250395966969475
2022-12-26-12-37-17-950,0.05178213693056044,-7.066393469604359,-0.00470392570036271,0.026,-2.4982,0.009,-0.002210642373249842,-0.039605792368735716,3.12487009321724
2022-12-26-12-37-18-000,0.05286643387016188,-7.191653156265309,-0.004304065364687304,0.0192,-2.5102,0.0141,-0.0021769901214367788,-0.03893609775377304,3.1245497696933096
2022-12-26-12-37-18-050,0.05396485648445126,-7.3170560174648225,-0.00400420859860251,0.0216,-2.5136,0.0065,-0.0018784583247606467,-0.03867274985750164,3.1241647853334236
2022-12-26-12-37-18-100,0.05501206743390674,-7.443271324405686,-0.004104355838579377,0.0295,-2.531,0.0058,-0.0020284645394075315,-0.038022741352224276,3.123954466334321
2022-12-26-12-37-18-150,0.05656963984779706,-7.569576532353696,-0.004404504940125786,0.0391,-2.5293,-0.0022,-0.0022446278258704037,-0.03791867763146386,3.123934662711617
2022-12-26-12-37-18-200,0.05823581522046917,-7.696744129763605,-0.00470465812097709,0.0381,-2.549,0.0015,-0.0026686809272764575,-0.037259165354623786,3.1239965176689997
2022-12-26-12-37-18-250,0.059921416829177954,-7.823822937003103,-0.005004813118727913,0.0304,-2.5453,-0.0033,-0.002594519618431191,-0.03731314399015825,3.1239645134443332
2022-12-26-12-37-18-300,0.06110902172322907,-7.951754144286998,-0.005204972179881473,0.0249,-2.5653,0.0068,-0.002548573651339515,-0.03689574001724364,3.1237598657355554
2022-12-26-12-37-18-350,0.062218039974588635,-8.0797153184877,-0.005305134383843946,0.0241,-2.5653,0.0029,-0.002595682670938135,-0.03724466709651369,3.123475310483169
2022-12-26-12-37-18-400,0.06320785979231269,-8.208553312294677,-0.005405297634052175,0.0238,-2.583,0.0084,-0.002838217550786084,-0.037079151868680285,3.1233209896924383
2022-12-26-12-37-18-450,0.06447228056286436,-8.337382426738131,-0.00540546586202062,0.0266,-2.5803,0.0063,-0.0026140784761607403,-0.037571355417347616,3.1233106839071776
2022-12-26-12-37-18-500,0.06586650155806417,-8.466840853308952,-0.005105635823276167,0.0342,-2.5962,0.0193,-0.0026213046454094803,-0.03773701041114751,3.1234155142463584
2022-12-26-12-37-18-550,0.06745056275662265,-8.596361435625525,-0.004405810094920248,0.0342,-2.5917,0.0228,-0.0027023028452671217,-0.038357603887703345,3.123428293616955
2022-12-26-12-37-18-600,0.06886156033520496,-8.726325975471724,-0.0034059865201125916,0.0303,-2.6042,0.0289,-0.002999503584042513,-0.03877825752405883,3.1234190887853863
2022-12-26-12-37-18-650,0.07038028110733618,-8.856337131772479,-0.002406168860652258,0.0304,-2.6007,0.0218,-0.00294988252950479,-0.0394379545963601,3.123330931018044
2022-12-26-12-37-18-700,0.0717109278014485,-8.986852182783753,-0.0016063500516603213,0.0311,-2.6162,0.0214,-0.003194169388309183,-0.03978545307127751,3.1232894042071657
2022-12-26-12-37-18-750,0.0732314146482742,-9.117419396901257,-0.0009065372963723561,0.0314,-2.6126,0.0148,-0.0032687663313357472,-0.04058763091737009,3.123335568253147
2022-12-26-12-37-18-800,0.07452232715944085,-9.24838062559798,-0.00020672615271966066,0.0273,-2.6227,0.0182,-0.0034048460228289015,-0.041166784133924605,3.123420742781559
2022-12-26-12-37-18-850,0.07584855917237743,-9.379203116785781,0.00039308229887247137,0.0261,-2.6146,0.0182,-0.0032237093127919906,-0.042007659542365454,3.123490801048225
2022-12-26-12-37-18-900,0.07695139674223306,-9.51030308221781,0.0011928874998812233,0.0246,-2.6234,0.0214,-0.003059572354015599,-0.04227884815576851,3.1235019940716113
2022-12-26-12-37-18-950,0.07803834116185726,-9.64132202503119,0.0017926914742103506,0.0221,-2.6196,0.0186,-0.0028028774259600017,-0.04273386196693497,3.123507187037001
2022-12-26-12-37-19-000,0.07897165134698358,-9.772460836715432,0.002492489848179069,0.0193,-2.6252,0.0234,-0.002469955644249281,-0.04306590720938874,3.123532695966497
2022-12-26-12-37-19-050,0.07965419024285092,-9.903363241246264,0.0031922892745672726,0.0138,-2.617,0.0239,-0.0018555486443067788,-0.043614068666775474,3.123549740974145
2022-12-26-12-37-19-100,0.080080670689616,-10.034167973974887,0.0040920830090245275,0.0161,-2.6187,0.0276,-0.001260129639802083,-0.04398845353739412,3.123517337592678
2022-12-26-12-37-19-150,0.0806766816122586,-10.164799561886943,0.004891875808498369,0.0227,-2.6112,0.0207,-0.000923961859841918,-0.04435329493020958,3.1235058147544232
2022-12-26-12-37-19-200,0.08152698783721535,-10.295333480672458,0.005391665992507733,0.0298,-2.6112,0.0163,-0.0009510617616705591,-0.04452666059665857,3.1235586106152304
2022-12-26-12-37-19-250,0.08284792202873348,-10.425553296484892,0.005791452911715567,0.0366,-2.6045,0.0102,-0.001169240763793145,-0.044770875478084615,3.123643948227207
2022-12-26-12-37-19-300,0.08447701653773043,-10.555686540851479,0.0059912395017649445,0.0424,-2.6025,0.0099,-0.0015475440556621544,-0.04489960274321094,3.123667702629566
2022-12-26-12-37-19-350,0.08616615158390495,-10.685461287455547,0.006091022302501692,0.039,-2.594,0.0029,-0.0020882137570478695,-0.04506370898419249,3.1235606413930816
2022-12-26-12-37-19-400,0.08771665915086801,-10.815335925328451,0.006190801202334839,0.0356,-2.5958,0.0069,-0.002499256109558714,-0.04478519365312249,3.1233920043122683
2022-12-26-12-37-19-450,0.08911176412918387,-10.944772153283223,0.006090580775095944,0.0312,-2.5919,-0.0005,-0.0028158898503712936,-0.04482392809427785,3.1232676573348725
2022-12-26-12-37-19-500,0.09040974015055703,-11.074590186060167,0.005890355766115185,0.0321,-2.5978,0.0031,-0.0030954112590353155,-0.04437537170463781,3.123266688467698
2022-12-26-12-37-19-550,0.09175804903663387,-11.2037689177713,0.0057901292458613085,0.0312,-2.5862,-0.0001,-0.003395170807573764,-0.04464585340733392,3.1233535762636633
2022-12-26-12-37-19-600,0.09311783364052406,-11.333520356983286,0.005689899219003536,0.0325,-2.5933,0.0057,-0.003609601802394154,-0.04399201968138826,3.123467068322856
2022-12-26-12-37-19-650,0.0944281725254621,-11.462397196545535,0.005689669443039946,0.029,-2.5794,0.0029,-0.003680519399371297,-0.044244298769356684,3.123447581128346
2022-12-26-12-37-19-700,0.09556633131514713,-11.591823435074822,0.005689433760421636,0.0271,-2.5868,0.0088,-0.003749114818325369,-0.043504818403436785,3.1232908444703176
2022-12-26-12-37-19-750,0.09670360459305138,-11.720063193440257,0.005889200038112996,0.0269,-2.5632,0.0059,-0.0038335969222627934,-0.043842852202166716,3.123089285907049
2022-12-26-12-37-19-800,0.09783381664110147,-11.84897444027671,0.005988959537098104,0.0275,-2.5763,0.0062,-0.003978935533077899,-0.04273030001173103,3.1229785981905382
2022-12-26-12-37-19-850,0.0989843385750877,-11.976794657861667,0.005888722224907106,0.0264,-2.5569,-0.0033,-0.0039027518937750543,-0.04284756199956149,3.1229694599258275
2022-12-26-12-37-19-900,0.10014986789166125,-12.105244187134796,0.005588476871115411,0.0295,-2.5727,0.0018,-0.0038646205860493055,-0.042070239492066314,3.1230201082113496
2022-12-26-12-37-19-950,0.10117412465440845,-12.232859072619252,0.0054882343315405535,0.0206,-2.5499,0.0023,-0.0036468837630927124,-0.04241843088015006,3.1229691984231454
2022-12-26-12-37-20-000,0.10201825012655474,-12.360828016610267,0.0056879852180777846,0.0216,-2.5602,0.0089,-0.0033174799019288956,-0.04199401139922743,3.1228625136541814
2022-12-26-12-37-20-050,0.1028376557206232,-12.488365210488295,0.005787736896042617,0.0217,-2.5448,0.0015,-0.003091493797716044,-0.0418437446418298,3.1226828366328108
2022-12-26-12-37-20-100,0.10346986808362235,-12.616319725813044,0.006087484611127181,0.0186,-2.5549,0.0098,-0.002980056270305458,-0.04102031022133766,3.122512459162028
2022-12-26-12-37-20-150,0.10427690986050608,-12.74362384170964,0.006687230628859453,0.0207,-2.5397,0.01,-0.0025081115785707754,-0.04105525310922599,3.1224103376087524
2022-12-26-12-37-20-200,0.10515989073847809,-12.871027848975015,0.007286973638470862,0.0288,-2.5436,0.0144,-0.002215046135658597,-0.040809207691573875,3.122405296190301
2022-12-26-12-37-20-250,0.1062512479113602,-12.997947941317026,0.00788671517665751,0.0303,-2.5285,0.0094,-0.0021639151618783885,-0.04076302556398111,3.122481510844105
2022-12-26-12-37-20-300,0.10732760075463954,-13.124734844066804,0.008486455227483702,0.0311,-2.5297,0.0157,-0.0023670842626206533,-0.04027741543289551,3.122602431024594
2022-12-26-12-37-20-350,0.10867679043214995,-13.25096457977417,0.009186192815644922,0.0344,-2.5153,0.0101,-0.0026217453584989007,-0.040020151806756436,3.1227285375731286
2022-12-26-12-37-20-400,0.11005776912145304,-13.37719653612246,0.009685929037882346,0.0346,-2.5199,0.0141,-0.0031122874060782093,-0.03931330265758389,3.12283551752963
2022-12-26-12-37-20-450,0.11135839435138939,-13.50289906943338,0.01028566348117721,0.0229,-2.5054,0.0119,-0.003029059705180778,-0.0390360097202154,3.1228934072909382
2022-12-26-12-37-20-500,0.11210274489995342,-13.628370746051049,0.011085396847875906,0.0145,-2.5042,0.0184,-0.0025988235829133167,-0.038646884514319406,3.122918619392288
2022-12-26-12-37-20-550,0.11261752281811921,-13.753507232797569,0.011785126465246876,0.0133,-2.4942,0.0118,-0.002231890343176179,-0.038300012333350786,3.122925422493726
2022-12-26-12-37-20-600,0.11290360873616834,-13.878598214210937,0.012384854342734286,0.014,-2.4966,0.0136,-0.0023055618428201663,-0.03761623802513923,3.123027494287665
2022-12-26-12-37-20-650,0.11360557793248649,-14.00323746788203,0.01308458155642267,0.0212,-2.486,0.0149,-0.0023401092914598696,-0.037242510934209064,3.123249765022232
2022-12-26-12-37-20-700,0.11468369513528787,-14.12769247705851,0.013984305410043696,0.0305,-2.4838,0.0229,-0.002437831881981944,-0.03671325043269034,3.1235136227989915
2022-12-26-12-37-20-750,0.11609999144389915,-14.25164137418906,0.01508402872875525,0.0359,-2.471,0.0206,-0.0027538400095241462,-0.03636561447818776,3.123646761959761
2022-12-26-12-37-20-800,0.11747125729169694,-14.375695712502932,0.016183749423517746,0.0315,-2.4766,0.0231,-0.0032627907079493547,-0.03555333075684711,3.123616393946361
2022-12-26-12-37-20-850,0.11877276556843386,-14.499007529650651,0.01738347013979702,0.0288,-2.4615,0.0247,-0.0037317997733354756,-0.03562458535944951,3.123568357354078
2022-12-26-12-37-20-900,0.11999127721742431,-14.622623459129727,0.018683186974293164,0.028,-2.4684,0.0268,-0.004138678398569592,-0.03530944155385949,3.123598793417866
2022-12-26-12-37-20-950,0.12104643474110377,-14.74548354656791,0.019682903777092697,0.0218,-2.4501,0.013,-0.004374349177722127,-0.03568251313402918,3.123741417553002
2022-12-26-12-37-21-000,0.12190733777187956,-14.868866395395962,0.020282615569557905,0.0188,-2.464,0.0108,-0.004461226047926214,-0.0350658749575308,3.1239305256878778
2022-12-26-12-37-21-050,0.12252365911595131,-14.991411271703871,0.02068232777309742,0.0105,-2.447,0.0047,-0.004203552705745242,-0.0352920009673365,3.1240316898582456
2022-12-26-12-37-21-100,0.12282475696889072,-15.114169249154433,0.021282037211172167,0.0077,-2.4575,0.0157,-0.0038269976403747853,-0.03500593211306325,3.1240707481452437
2022-12-26-12-37-21-150,0.12308258625710344,-15.236108121935892,0.022181746334449137,0.0072,-2.4347,0.0189,-0.003351389746886261,-0.03547482169320878,3.1240641144105554
2022-12-26-12-37-21-200,0.12327684559463581,-15.358214589516216,0.023281452924619472,0.0103,-2.4403,0.0274,-0.0031330454969900963,-0.03509327908770136,3.12409022137712
2022-12-26-12-37-21-250,0.12373511063451836,-15.479698405864106,0.024581158367846356,0.014,-2.425,0.0217,-0.002880128543539952,-0.03509590708231597,3.1241610965975024
2022-12-26-12-37-21-300,0.12432317559670558,-15.601308751226176,0.025780861124430565,0.0183,-2.4345,0.0231,-0.0028378845419648035,-0.03471450747163417,3.1243125599700887
2022-12-26-12-37-21-350,0.12512756953047344,-15.722519531574697,0.026780562313881262,0.0198,-2.4225,0.0131,-0.002747874456687537,-0.034875392306055436,3.1244911932845665
2022-12-26-12-37-21-400,0.12579157042747813,-15.843748070050516,0.02768026146659608,0.0181,-2.427,0.0189,-0.002908100289689842,-0.03497182654688357,3.124556523541556
2022-12-26-12-37-21-450,0.12654651733798428,-15.964571497571212,0.02867995905018894,0.0186,-2.4132,0.016,-0.003089859035072164,-0.035390224065928164,3.1245414684710546
2022-12-26-12-37-21-500,0.12730323002384303,-16.085306133003705,0.029879655080473633,0.0208,-2.4144,0.0242,-0.0034045227005849695,-0.035526296758651016,3.124507890308468
2022-12-26-12-37-21-550,0.1281155726028551,-16.205644534618976,0.03117934957312052,0.0136,-2.4008,0.0233,-0.003349853071746343,-0.035636306781266405,3.124513643227842
2022-12-26-12-37-21-600,0.1285067313971915,-16.325682155293713,0.03267904212516992,0.0065,-2.4014,0.0342,-0.0029623002853333418,-0.03558241488859575,3.124533283801887
2022-12-26-12-37-21-650,0.12859238347286706,-16.445330202949883,0.03437873378471501,-0.003,-2.3895,0.0323,-0.002367987295975635,-0.0357345734258229,3.124445935675332
2022-12-26-12-37-21-700,0.12817826988411696,-16.564863931582202,0.03617842430443563,-0.0072,-2.3916,0.0323,-0.001658100750305844,-0.03577069111228404,3.124347176725753
2022-12-26-12-37-21-750,0.12797253578557477,-16.683940381268602,0.03767811257115028,0.004,-2.3779,0.0254,-0.001042138714359692,-0.03620972961064772,3.124343240153079
2022-12-26-12-37-21-800,0.12817650740868558,-16.803049019076106,0.039277799813552505,0.0158,-2.3787,0.0319,-0.0009036676250853332,-0.036086968875742385,3.1244639406489747
2022-12-26-12-37-21-850,0.12890672956684313,-16.92138516756614,0.040977485797538904,0.0219,-2.3621,0.0321,-0.0009339246704511996,-0.03628305745496199,3.1246388770419373
2022-12-26-12-37-21-900,0.12991685900507832,-17.039660273697233,0.04307716888700597,0.0257,-2.3631,0.0414,-0.0009953099597323574,-0.03596391208063603,3.124691134049791
2022-12-26-12-37-21-950,0.13089343479041826,-17.157283868768214,0.04497685359056547,0.0197,-2.3502,0.0337,-0.001030088716857828,-0.03602525202626323,3.124623364241387
2022-12-26-12-37-22-000,0.13148061544833833,-17.274957409450266,0.04677653417377137,0.0118,-2.3513,0.0349,-0.0011668159953166417,-0.03561469117518642,3.1244566768678803
