gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-17-16-42-20-150,3.7294486410453533,7.470644000371745,0.05329451776903493,1.4376,2.8756,0.0254,0.0396498336405614,0.02145310285410016,0.45789987644743724
2022-12-17-16-42-20-200,3.8013788047325168,7.6146802157293765,0.05399430388972748,1.4412,2.8756,0.0232,0.03970992614701231,0.021541752682118304,0.45805383002089345
2022-12-17-16-42-20-250,3.873279058822874,7.758642160106265,0.054694084846262925,1.442,2.8747,0.0222,0.04021194125605595,0.021586522175121085,0.4581889395536685
2022-12-17-16-42-20-300,3.945132030218633,7.902548679029638,0.05529386407051584,1.4354,2.8756,0.0224,0.04060972315541549,0.02151323662013459,0.458203557872978
2022-12-17-16-42-20-350,4.01692228152944,8.046523926385483,0.055993639335819356,1.4301,2.8792,0.0211,0.040501931236839886,0.02140628574081894,0.45821856103738734
2022-12-17-16-42-20-400,4.0885475346644515,8.190587856904475,0.05659340756052256,1.4284,2.8786,0.0222,0.04003171279790847,0.021233359670448645,0.4583283765256043
2022-12-17-16-42-20-450,4.160088843207787,8.334608554925813,0.0572931745045433,1.4323,2.8772,0.024,0.03996483919862138,0.0210357888354552,0.45856462603848347
2022-12-17-16-42-20-500,4.231605059567645,8.478454105869668,0.05799293731880084,1.4306,2.8712,0.027,0.040145498421481525,0.020779933707475787,0.4588502841295173
2022-12-17-16-42-20-550,4.30327951974312,8.622104558345775,0.05899269523372341,1.434,2.8668,0.0291,0.04024700615991228,0.020670907439693294,0.45894727340250085
2022-12-17-16-42-20-600,4.375069759842376,8.765557693994019,0.05999245152007315,1.4366,2.8638,0.0307,0.040144641290285873,0.02059428057402691,0.45899456435522074
2022-12-17-16-42-20-650,4.446887981690897,8.908945427055167,0.060892202950001195,1.4383,2.8612,0.0273,0.04027555728556066,0.020477705530336735,0.459017390294777
